,SecondCutRefID,RequestedDate,CreatedBy,Status,Region,County_x,lat_x,lon_x,CBU/EBU,EquipmentType,TrialDate,Site_ID,Site_Name,lat_y,lon_y,First_Live,County_y,distance
1027,CE INC000010128649,2018-06-20,patilv02,Closed,SGS,SGS_EA,-26.142716,28.294776,EBU,GSM900/1800 booster (CIT),2018-06-07 00:00:00,SGS_49881, RAN_Babcock_Benoni_DAS_SGS,-26.1427,28.2948,2019-10-22 00:00:00, Far East,0.003
794,CE INC00001490780,2019-10-14,patilv02,Closed,SGS,SGS_EA,-26.382517,28.449717,CBU,Vodafone 2G,2019-10-09 00:00:00,SGS_57461, RAN_Coca_Cola_Nigel_DAS_SGS,-26.38314672,28.44974694,2022-09-09 00:00:00, Far East,0.07
714,INC0N0004039131,2021-09-22,marimall,Closed,SGS,SGS_EA,-26.195529,28.307431,CBU,Cel-Fi Duo Dual-Band Smart Repeater,2021-08-16 00:00:00,SGS_57961, RAN_Glynwood_Life_Hosp_SGS,-26.1949519,28.30813901,2021-10-11 00:00:00, Far East,0.095
296,CE INC0N0000758269,2020-08-27,patilv02,Closed,SGS,SGS_EA,-26.514143,28.353421,CBU,Cel-Fi Go-X,2020-08-13 00:00:00,SGS_57481, RAN_Shalimar_Ridge_ULCS_SGS,-26.51375394,28.35464137,2022-07-01 00:00:00, Far East,0.129
295,CE INC000014882980,2019-10-16,patilv02,Closed,SGS,SGS_EA,-26.51383,28.353342,CBU,Cellvine_-_2G_+_3G,2019-10-11 00:00:00,SGS_57481, RAN_Shalimar_Ridge_ULCS_SGS,-26.51375394,28.35464137,2022-07-01 00:00:00, Far East,0.13
793,CE inc000013766485,2019-06-14,patilv02,Closed,SGS,SGS_EA,-26.381929,28.449851,EBU,Cel-Fi Duo Dual-Band Smart Repeater,2019-06-07 00:00:00,SGS_57461, RAN_Coca_Cola_Nigel_DAS_SGS,-26.38314672,28.44974694,2022-09-09 00:00:00, Far East,0.136
1047,CE INC000010130703,2018-06-11,patilv02,Closed,SGS,SGS_EA,-26.416905,28.465097,EBU,Cellvine_-_2G_ONLY,2018-06-07 00:00:00,SGS_51061, RAN_Methodist_Church_Nigel_SGS,-26.4169,28.4635,2021-08-06 00:00:00, Far East,0.159
871,CE FoodLovers Market City Deep,2018-01-18,patilv02,Closed,SGS,SGS_EA,-26.230981,28.084266,CBU,Vodafone 3G,2017-12-20 00:00:00,SGS_35181, RAN_City_Deep_West_SGS,-26.23254027,28.08399723,2020-09-12 00:00:00, Far East,0.175
904,CE INC000006841242,2017-06-02,patilv02,Closed,SGS,SGS_EA,-26.18921,28.323756,CBU,3GBooster-VB-301,2017-04-28 00:00:00,SGS_43021, RAN_Benoni_East_SGS,-26.189666,28.321969,2020-09-15 00:00:00, Far East,0.185
905,CE INC000007119552,2017-08-02,patilv02,Closed,SGS,SGS_EA,-26.188597,28.320327,EBU,Cell-Fi,2017-06-29 00:00:00,SGS_43021, RAN_Benoni_East_SGS,-26.189666,28.321969,2020-09-15 00:00:00, Far East,0.202
61,INC0N0005872178,2022-02-03,marimall,Closed,SGS,SGS_EA,-26.155556,28.343244,CBU,Cel-Fi Duo Dual-Band Smart Repeater,2022-01-31 00:00:00,SGS_59201, RAN_Sesfikile_Logistics_ULCS_SGS,-26.1560025,28.3409205,2023-05-05 00:00:00, Far East,0.237
70,CE INC0N0001196048a,2020-10-21,patilv02,Closed,SGS,SGS_EA,-26.157613,28.342753,CBU,Cel-Fi Duo Dual-Band Smart Repeater,2020-08-11 00:00:00,SGS_59201, RAN_Sesfikile_Logistics_ULCS_SGS,-26.1560025,28.3409205,2023-05-05 00:00:00, Far East,0.256
888,CE INC000007176240,2017-06-18,patilv02,Closed,SGS,SGS_EA,-26.215823,28.32663,CBU,Vodafone 3G,2017-05-02 00:00:00,SGS_51721, RAN_Apex_South_SGS,-26.214715,28.328995,2020-10-16 00:00:00, Far East,0.266
983,CE INC000006733036,2017-06-05,patilv02,Closed,SGS,SGS_EA,-26.11643,28.363445,CBU,Vodafone 3G,2017-03-24 00:00:00,SGS_48641, RAN_Ashbury_Private_Schl_SGS,-26.1139,28.3643,2020-09-15 00:00:00, Far East,0.294
715,CE INC0N0001550284,2020-12-07,patilv02,Closed,SGS,SGS_EA,-26.195747,28.305296,CBU,Cel-Fi Duo Dual-Band Smart Repeater,2020-11-27 00:00:00,SGS_57961, RAN_Glynwood_Life_Hosp_SGS,-26.1949519,28.30813901,2021-10-11 00:00:00, Far East,0.297
398,CE INC000016780736,2020-03-09,patilv02,Closed,SGS,SGS_EA,-26.357177,28.109638,CBU,Vodafone 3G,2020-02-03 00:00:00,SGS_21941, RAN_Outeniqua_Str_SGS,-26.3574,28.1127,2020-09-12 00:00:00, Far East,0.306
64,CE INC0N0002482226,2021-04-15,patilv02,Closed,SGS,SGS_EA,-26.155452,28.337912,CBU,Cel-Fi Duo Dual-Band Smart Repeater,2021-04-07 00:00:00,SGS_59201, RAN_Sesfikile_Logistics_ULCS_SGS,-26.1560025,28.3409205,2023-05-05 00:00:00, Far East,0.306
