Georegion,County Id,Atoll Site Id,Tx Id,Serialno,Neid,Subname,Sector,Ret Tilt,Technology,Fband,Atoll Antenna
CEN,CEN_DC,CEN_11021,CEN_E1_11021_1,I0N2138221_Y2,LTE_LESREY_MT_CEN,800372991_Y2,1,6,LTE,LTE 2100,065_16_XTB_2100_6_KATH_800372991
CEN,CEN_DC,CEN_11021,CEN_E1_11021_2,I0N2138220_Y2,LTE_LESREY_MT_CEN,800372991_Y2,2,6,LTE,LTE 2100,065_16_XTB_2100_6_KATH_800372991
CEN,CEN_DC,CEN_11021,CEN_E1_11021_3,I0N2138329_Y1,LTE_LESREY_MT_CEN,800372991_Y1,3,8,LTE,LTE 2100,065_16_XTB_2100_8_KATH_800372991
CEN,CEN_DC,CEN_11021,CEN_E3_11021_1,I0N2138221_Y1,LTE_LESREY_MT_CEN,800372991_Y1,1,6,LTE,LTE 1800,065_16_XTB_1800_6_KATH_800372991
CEN,CEN_DC,CEN_11021,CEN_E3_11021_3,I0N2138329_Y2,LTE_LESREY_MT_CEN,800372991_Y2,3,8,LTE,LTE 1800,065_16_XTB_1800_8_KATH_800372991
CEN,CEN_DC,CEN_11021,CEN_E8_11021_1,I0N2138221_R1,LTE_LESREY_MT_CEN,800372991_R1,1,8,LTE,LTE 900,065_16_XTB_0900_8_KATH_800372991
CEN,CEN_DC,CEN_11021,CEN_E8_11021_2,I0N2138220_R1,LTE_LESREY_MT_CEN,800372991_R1,2,6,LTE,LTE 900,065_16_XTB_0900_6_KATH_800372991
CEN,CEN_DC,CEN_11021,CEN_E8_11021_3,I0N2138329_R1,LTE_LESREY_MT_CEN,800372991_R1,3,9,LTE,LTE 900,065_16_XTB_0900_9_KATH_800372991
CEN,CEN_DC,CEN_11021,CEN_P_11021_1,I0N2138221_R1,LTE_LESREY_MT_CEN,800372991_R1,1,8,GSM,GSM 900,065_16_XTB_0900_8_KATH_800372991
CEN,CEN_DC,CEN_11021,CEN_P_11021_2,I0N2138220_R1,LTE_LESREY_MT_CEN,800372991_R1,2,6,GSM,GSM 900,065_16_XTB_0900_6_KATH_800372991
CEN,CEN_DC,CEN_11021,CEN_P_11021_3,I0N2138329_R1,LTE_LESREY_MT_CEN,800372991_R1,3,9,GSM,GSM 900,065_16_XTB_0900_9_KATH_800372991
CEN,CEN_DC,CEN_11021,CEN_U_11021_1,I0N2138221_Y1,LTE_LESREY_MT_CEN,800372991_Y1,1,6,UMTS,UMTS 2100,065_16_XTB_2100_6_KATH_800372991
CEN,CEN_DC,CEN_11021,CEN_U_11021_2,I0N2138220_Y1,LTE_LESREY_MT_CEN,800372991_Y1,2,6,UMTS,UMTS 2100,065_16_XTB_2100_6_KATH_800372991
CEN,CEN_DC,CEN_11101,CEN_E3_11101_1,XKK4863634_Y2,LTE_KATHU_EAST_MT_CEN,80010891_Y2,1,4,LTE,LTE 1800,068_16_XTB_1800_4_KATH_80010891
CEN,CEN_DC,CEN_11101,CEN_E3_11101_2,XKK4863618_Y2,LTE_KATHU_EAST_MT_CEN,80010891_Y2,2,4,LTE,LTE 1800,068_16_XTB_1800_4_KATH_80010891
CEN,CEN_DC,CEN_11101,CEN_P_11101_1,XKK4863634_R1,LTE_KATHU_EAST_MT_CEN,80010891_R1,1,4,GSM,GSM 900,068_16_XTB_900_4_KATH_80010891
CEN,CEN_DC,CEN_11101,CEN_P_11101_2,XKK4863618_R1,LTE_KATHU_EAST_MT_CEN,80010891_R1,2,4,GSM,GSM 900,068_16_XTB_900_4_KATH_80010891
